country,year,health,economy,energy,education
Algeria,1996,73.3,34.9,802.0,0.333
Algeria,1997,73.2,34.4,809.0,0.347
Algeria,1998,73.5,34.0,825.0,0.36
Algeria,1999,73.9,33.5,868.0,0.38
Algeria,2000,74.0,33.1,870.0,0.393
Algeria,2001,74.2,32.6,860.0,0.407
Algeria,2002,74.5,32.2,908.0,0.42
Algeria,2003,74.6,31.7,953.0,0.433
Algeria,2004,75.0,31.2,952.0,0.447
Algeria,2005,75.3,30.8,978.0,0.46
Algeria,2006,75.5,30.3,1030.0,0.467
Algeria,2007,75.7,29.9,1080.0,0.48
Algeria,2008,75.9,29.4,1070.0,0.447
Algeria,2009,76.1,29.0,1150.0,0.46
Algeria,2010,76.3,28.5,1110.0,0.473
Algeria,2011,76.5,28.2,1140.0,0.493
Algeria,2012,76.8,27.9,1230.0,0.507
Algeria,2013,76.9,27.7,1250.0,0.52
Algeria,2014,77.0,27.6,1330.0,0.527
Argentina,1971,65.8,35.6,1390.0,0.395
Argentina,1972,66.2,35.3,1390.0,0.395
Argentina,1973,66.6,35.2,1420.0,0.395
Argentina,1974,67.0,35.5,1430.0,0.395
Argentina,1975,67.5,36.1,1390.0,0.429
Argentina,1976,68.0,36.9,1420.0,0.429
Argentina,1977,68.4,37.9,1430.0,0.429
Argentina,1978,69.0,38.8,1440.0,0.429
Argentina,1979,69.6,39.7,1500.0,0.429
Argentina,1980,70.1,40.4,1500.0,0.448
Argentina,1981,70.4,41.0,1440.0,0.448
Argentina,1982,70.8,41.5,1430.0,0.448
Argentina,1983,70.8,41.8,1430.0,0.448
Argentina,1984,71.2,42.1,1460.0,0.448
Argentina,1985,71.5,42.9,1370.0,0.497
Argentina,1986,71.8,43.7,1430.0,0.497
Argentina,1987,72.0,44.5,1480.0,0.497
Argentina,1988,72.1,45.3,1510.0,0.497
Argentina,1989,72.3,46.1,1450.0,0.497
Argentina,1990,72.4,46.1,1410.0,0.525
Argentina,1991,72.6,45.9,1440.0,0.533
Argentina,1992,72.6,45.9,1490.0,0.533
Argentina,1993,72.9,46.4,1470.0,0.54
Argentina,1994,73.3,46.9,1550.0,0.547
Argentina,1995,73.3,47.7,1550.0,0.553
Argentina,1996,73.3,48.8,1590.0,0.567
Argentina,1997,73.5,49.6,1620.0,0.573
Argentina,1998,73.5,50.0,1660.0,0.587
Argentina,1999,73.6,50.8,1670.0,0.593
Argentina,2000,74.2,51.7,1670.0,0.607
Argentina,2001,74.3,51.7,1570.0,0.607
Argentina,2002,74.2,51.4,1510.0,0.613
Argentina,2003,74.3,50.8,1600.0,0.62
Argentina,2004,74.9,49.4,1730.0,0.613
Argentina,2005,75.3,47.9,1720.0,0.607
Argentina,2006,75.4,46.7,1850.0,0.6
Argentina,2007,75.1,45.8,1860.0,0.593
Argentina,2008,75.5,44.9,1940.0,0.593
Argentina,2009,75.6,44.0,1870.0,0.62
Argentina,2010,75.8,43.0,1930.0,0.653
Argentina,2011,75.9,42.3,1950.0,0.653
Argentina,2012,76.0,41.8,1940.0,0.653
Argentina,2013,76.1,41.6,1970.0,0.653
Argentina,2014,76.4,41.6,2030.0,0.653
Australia,1971,71.3,33.6,3990.0,0.623
Australia,1972,71.6,33.4,4040.0,0.623
Australia,1973,71.9,33.3,4260.0,0.623
Australia,1974,72.1,33.2,4290.0,0.623
Australia,1975,72.5,33.1,4350.0,0.669
Australia,1976,72.9,33.1,4410.0,0.669
Australia,1977,73.3,33.0,4670.0,0.669
Australia,1978,73.7,32.8,4630.0,0.669
Australia,1979,74.1,32.5,4680.0,0.669
Australia,1980,74.4,32.2,4740.0,0.719
Australia,1981,74.7,32.0,4690.0,0.719
Australia,1982,74.8,31.9,4820.0,0.719
Australia,1983,75.2,31.9,4560.0,0.719
Australia,1984,75.4,32.2,4650.0,0.719
Australia,1985,75.5,32.4,4600.0,0.735
Australia,1986,75.8,32.6,4620.0,0.735
Australia,1987,76.0,32.8,4770.0,0.735
Australia,1988,76.3,32.9,4700.0,0.735
Australia,1989,76.4,33.0,5000.0,0.735
Australia,1990,76.9,33.0,5060.0,0.747
Australia,1991,77.3,33.0,4930.0,0.787
Australia,1992,77.4,32.9,4960.0,0.787
Australia,1993,77.8,32.8,5150.0,0.787
Australia,1994,77.9,32.7,5090.0,0.787
Australia,1995,78.2,32.7,5130.0,0.787
Australia,1996,78.3,32.8,5390.0,0.787
Australia,1997,78.6,32.9,5470.0,0.787
Australia,1998,78.9,33.0,5550.0,0.787
Australia,1999,79.3,33.2,5610.0,0.793
Australia,2000,79.5,33.3,5640.0,0.793
Australia,2001,80.0,33.4,5450.0,0.793
Australia,2002,80.2,33.5,5570.0,0.787
Australia,2003,80.5,33.7,5570.0,0.787
Australia,2004,80.8,34.0,5600.0,0.787
Australia,2005,81.2,34.3,5560.0,0.78
Australia,2006,81.4,34.7,5710.0,0.793
Australia,2007,81.4,34.9,5870.0,0.8
Australia,2008,81.5,35.0,5960.0,0.82
Australia,2009,81.7,34.2,5860.0,0.82
Australia,2010,82.0,33.6,5790.0,0.827
Australia,2011,82.1,32.9,5750.0,0.833
Australia,2012,82.5,32.4,5580.0,0.84
Australia,2013,82.6,31.9,5470.0,0.84
Australia,2014,82.5,32.2,5330.0,0.847
Austria,1971,70.5,29.1,2510.0,0.509
Austria,1972,70.7,28.7,2630.0,0.509
Austria,1973,71.1,28.2,2830.0,0.509
Austria,1974,71.3,27.7,2730.0,0.509
Austria,1975,71.5,27.2,2650.0,0.532
Austria,1976,72.0,26.7,2870.0,0.532
Austria,1977,72.3,26.2,2800.0,0.532
Austria,1978,72.5,25.7,2890.0,0.532
Austria,1979,72.7,25.2,3140.0,0.532
Austria,1980,72.8,24.7,3070.0,0.547
Austria,1981,73.1,24.4,2900.0,0.547
Austria,1982,73.3,24.5,2830.0,0.547
Austria,1983,73.5,24.7,2840.0,0.547
Austria,1984,73.9,25.3,2950.0,0.547
Austria,1985,74.2,26.1,3050.0,0.561
Austria,1986,74.6,26.8,3060.0,0.561
Austria,1987,75.0,27.6,3170.0,0.561
Austria,1988,75.3,28.2,3200.0,0.561
Austria,1989,75.6,28.5,3140.0,0.561
Austria,1990,75.8,28.5,3240.0,0.576
Austria,1991,75.9,28.3,3420.0,0.58
Austria,1992,76.1,27.9,3250.0,0.58
Austria,1993,76.2,27.5,3260.0,0.587
Austria,1994,76.6,27.3,3230.0,0.587
Austria,1995,76.8,27.2,3370.0,0.593
Austria,1996,77.1,27.3,3580.0,0.593
Austria,1997,77.6,27.4,3550.0,0.593
Austria,1998,77.8,27.8,3610.0,0.6
Austria,1999,78.0,28.2,3590.0,0.6
Austria,2000,78.3,28.6,3570.0,0.6
Austria,2001,78.7,29.0,3760.0,0.613
Austria,2002,78.9,29.3,3770.0,0.627
Austria,2003,79.0,29.3,3970.0,0.64
Austria,2004,79.4,29.4,4010.0,0.653
Austria,2005,79.6,29.6,4090.0,0.66
Austria,2006,80.1,29.8,4080.0,0.673
Austria,2007,80.2,30.2,4020.0,0.773
Austria,2008,80.4,30.5,4030.0,0.767
Austria,2009,80.3,30.7,3800.0,0.78
Austria,2010,80.6,30.7,4050.0,0.787
Austria,2011,80.8,30.8,3920.0,0.787
Austria,2012,81.0,30.6,3890.0,0.787
Austria,2013,81.2,30.6,3920.0,0.793
Austria,2014,81.4,30.6,3760.0,0.807
Bahrain,1971,66.1,40.0,6390.0,0.125
Bahrain,1972,66.7,40.0,5970.0,0.125
Bahrain,1973,67.4,40.0,8500.0,0.125
Bahrain,1974,68.0,40.0,9010.0,0.125
Bahrain,1975,68.5,40.0,8000.0,0.181
Bahrain,1976,69.1,40.0,9580.0,0.181
Bahrain,1977,69.6,40.0,8190.0,0.181
Bahrain,1978,70.1,40.0,7840.0,0.181
Bahrain,1979,70.6,40.0,8810.0,0.181
Bahrain,1980,71.1,40.0,7790.0,0.275
Bahrain,1981,71.7,40.0,8300.0,0.275
Bahrain,1982,71.6,40.0,9070.0,0.275
Bahrain,1983,71.4,40.0,8500.0,0.275
Bahrain,1984,71.3,40.0,8830.0,0.275
Bahrain,1985,71.6,40.0,9920.0,0.35
Bahrain,1986,71.1,40.0,10300.0,0.35
Bahrain,1987,70.7,40.0,9520.0,0.35
Bahrain,1988,70.6,40.0,10500.0,0.35
Bahrain,1989,70.6,40.0,10200.0,0.35
Bahrain,1990,70.5,40.0,10600.0,0.407
Bahrain,1991,70.5,40.0,10100.0,0.42
Bahrain,1992,70.4,40.0,10800.0,0.433
Bahrain,1993,70.6,40.0,11100.0,0.447
Bahrain,1994,70.8,40.0,11600.0,0.46
Bahrain,1995,71.0,40.0,11400.0,0.48
Bahrain,1996,71.2,40.0,11100.0,0.493
Bahrain,1997,71.4,40.0,12200.0,0.507
Bahrain,1998,71.7,40.0,12400.0,0.527
Bahrain,1999,72.4,40.0,11900.0,0.54
Bahrain,2000,72.6,40.0,12000.0,0.553
Bahrain,2001,73.7,40.0,11700.0,0.56
Bahrain,2002,74.2,40.0,11500.0,0.56
Bahrain,2003,74.2,40.0,11600.0,0.56
Bahrain,2004,74.4,40.0,10900.0,0.56
Bahrain,2005,75.1,40.0,11700.0,0.56
Bahrain,2006,75.7,40.0,11600.0,0.56
Bahrain,2007,76.5,40.0,11200.0,0.56
Bahrain,2008,77.1,40.0,11300.0,0.56
Bahrain,2009,77.8,40.0,10300.0,0.56
Bahrain,2010,78.2,40.0,10200.0,0.56
Bahrain,2011,78.5,40.0,9910.0,0.573
Bahrain,2012,78.7,40.0,9660.0,0.587
Bahrain,2013,78.9,40.0,10400.0,0.6
Bahrain,2014,79.2,40.0,10600.0,0.607
Bangladesh,1971,44.5,20.3,86.8,0.0773
Bangladesh,1972,52.2,20.6,88.1,0.0773
Bangladesh,1973,52.2,21.3,93.9,0.0773
Bangladesh,1974,51.6,21.9,95.5,0.0773
Bangladesh,1975,52.5,22.5,96.0,0.0787
Bangladesh,1976,52.7,23.1,99.9,0.0787
Bangladesh,1977,53.0,23.7,99.7,0.0787
Bangladesh,1978,53.3,24.3,100.0,0.0787
Bangladesh,1979,53.6,24.8,102.0,0.0787
Bangladesh,1980,54.0,25.3,106.0,0.131
Bangladesh,1981,54.2,25.6,105.0,0.131
Bangladesh,1982,54.5,25.8,108.0,0.131
Bangladesh,1983,54.9,25.9,108.0,0.131
Bangladesh,1984,55.4,26.2,106.0,0.131
Bangladesh,1985,55.4,26.5,110.0,0.16
Bangladesh,1986,56.4,27.0,114.0,0.16
Bangladesh,1987,56.9,27.6,110.0,0.16
Bangladesh,1988,57.2,28.0,117.0,0.16
Bangladesh,1989,58.1,28.2,120.0,0.16
Bangladesh,1990,58.3,28.2,123.0,0.189
Bangladesh,1991,56.8,28.4,119.0,0.193
Bangladesh,1992,60.1,28.6,123.0,0.2
Bangladesh,1993,60.9,29.3,127.0,0.207
Bangladesh,1994,61.7,30.3,130.0,0.213
Bangladesh,1995,62.1,31.4,138.0,0.22
Bangladesh,1996,62.9,32.2,136.0,0.233
Bangladesh,1997,63.7,32.8,139.0,0.24
Bangladesh,1998,64.5,33.2,142.0,0.253
Bangladesh,1999,65.2,33.3,141.0,0.26
Bangladesh,2000,65.5,33.3,143.0,0.273
Bangladesh,2001,66.1,33.3,154.0,0.287
Bangladesh,2002,66.5,33.3,154.0,0.287
Bangladesh,2003,66.8,33.3,160.0,0.293
Bangladesh,2004,67.3,33.2,160.0,0.3
Bangladesh,2005,67.6,33.1,164.0,0.3
Bangladesh,2006,67.9,33.0,173.0,0.307
Bangladesh,2007,68.1,32.8,179.0,0.313
Bangladesh,2008,68.5,32.6,186.0,0.32
Bangladesh,2009,69.1,32.4,193.0,0.32
Bangladesh,2010,69.5,32.3,207.0,0.327
Bangladesh,2011,70.3,32.2,212.0,0.34
Bangladesh,2012,71.1,32.2,220.0,0.34
Bangladesh,2013,71.7,32.3,222.0,0.34
Bangladesh,2014,72.0,32.3,229.0,0.347
Belgium,1971,71.2,24.8,4100.0,0.479
Belgium,1972,71.4,24.3,4470.0,0.479
Belgium,1973,71.7,23.9,4720.0,0.479
Belgium,1974,71.9,23.4,4620.0,0.479
Belgium,1975,72.1,23.0,4320.0,0.501
Belgium,1976,72.4,22.6,4620.0,0.501
Belgium,1977,72.7,22.2,4590.0,0.501
Belgium,1978,72.9,21.7,4830.0,0.501
Belgium,1979,73.1,21.4,4980.0,0.501
Belgium,1980,73.3,21.2,4740.0,0.537
Belgium,1981,73.5,21.1,4420.0,0.537
Belgium,1982,73.7,21.1,4210.0,0.537
Belgium,1983,73.9,21.1,4160.0,0.537
Belgium,1984,74.3,21.0,4330.0,0.537
Belgium,1985,74.6,20.9,4470.0,0.572
Belgium,1986,74.9,21.0,4630.0,0.572
Belgium,1987,75.2,21.4,4730.0,0.572
Belgium,1988,75.6,22.1,4770.0,0.572
Belgium,1989,75.8,22.7,4800.0,0.572
Belgium,1990,76.0,23.2,4810.0,0.607
Belgium,1991,76.3,23.6,5010.0,0.633
Belgium,1992,76.4,24.0,5040.0,0.633
Belgium,1993,76.5,24.2,4900.0,0.64
Belgium,1994,76.6,24.7,5190.0,0.647
Belgium,1995,76.9,25.4,5270.0,0.647
Belgium,1996,77.2,26.1,5540.0,0.653
Belgium,1997,77.4,26.6,5520.0,0.653
Belgium,1998,77.6,27.1,5600.0,0.66
Belgium,1999,77.7,27.5,5610.0,0.667
Belgium,2000,77.8,27.8,5670.0,0.667
Belgium,2001,78.1,28.0,5630.0,0.68
Belgium,2002,78.3,28.6,5390.0,0.687
Belgium,2003,78.5,28.9,5590.0,0.693
Belgium,2004,79.0,28.8,5590.0,0.7
Belgium,2005,79.2,29.1,5560.0,0.713
Belgium,2006,79.6,29.1,5470.0,0.74
Belgium,2007,79.6,28.7,5340.0,0.74
Belgium,2008,79.6,28.5,5450.0,0.733
Belgium,2009,79.8,28.5,5200.0,0.74
Belgium,2010,80.1,28.2,5540.0,0.74
Belgium,2011,80.2,28.0,5090.0,0.747
Belgium,2012,80.3,27.9,4850.0,0.747
Belgium,2013,80.5,27.8,5000.0,0.76
Belgium,2014,80.9,27.8,4710.0,0.767
Benin,1971,47.4,42.0,371.0,0.042
Benin,1972,48.0,42.2,380.0,0.042
Benin,1973,48.5,42.2,380.0,0.042
Benin,1974,49.0,42.3,379.0,0.042
Benin,1975,49.3,42.4,381.0,0.0427
Benin,1976,49.7,42.5,360.0,0.0427
Benin,1977,50.0,42.6,364.0,0.0427
Benin,1978,50.4,42.6,368.0,0.0427
Benin,1979,50.8,42.7,365.0,0.0427
Benin,1980,51.3,42.6,364.0,0.0433
Benin,1981,51.8,42.6,353.0,0.0433
Benin,1982,52.2,42.4,356.0,0.0433
Benin,1983,52.7,42.2,355.0,0.0433
Benin,1984,53.0,42.1,354.0,0.0433
Benin,1985,53.5,41.9,361.0,0.0727
Benin,1986,54.0,41.7,354.0,0.0727
Benin,1987,54.5,41.5,348.0,0.0727
Benin,1988,54.9,41.3,347.0,0.0727
Benin,1989,55.1,41.1,338.0,0.0727
Benin,1990,55.2,41.0,334.0,0.108
Benin,1991,55.5,40.8,328.0,0.113
Benin,1992,56.0,40.6,324.0,0.12
Benin,1993,56.4,40.4,320.0,0.127
Benin,1994,56.5,40.2,316.0,0.133
Benin,1995,56.7,40.0,313.0,0.14
Benin,1996,56.8,39.9,353.0,0.147
Benin,1997,57.0,39.7,355.0,0.153
Benin,1998,57.2,39.5,340.0,0.16
Benin,1999,57.4,39.3,345.0,0.167
Benin,2000,57.5,39.1,289.0,0.173
Benin,2001,57.7,38.9,298.0,0.173
Benin,2002,58.1,38.9,310.0,0.18
Benin,2003,58.4,39.0,317.0,0.18
Benin,2004,58.8,39.3,321.0,0.18
Benin,2005,59.2,39.7,313.0,0.187
Benin,2006,59.6,40.2,359.0,0.187
Benin,2007,60.0,40.7,379.0,0.187
Benin,2008,60.5,41.3,377.0,0.187
Benin,2009,61.0,41.8,384.0,0.187
Benin,2010,61.4,42.4,397.0,0.187
Benin,2011,61.8,43.1,397.0,0.187
Benin,2012,62.2,44.0,400.0,0.2
Benin,2013,62.6,45.1,406.0,0.213
Benin,2014,63.0,46.0,417.0,0.22
Bolivia,1971,50.4,52.3,223.0,0.218
Bolivia,1972,51.1,51.5,241.0,0.218
Bolivia,1973,51.7,50.3,249.0,0.218
Bolivia,1974,52.3,49.2,261.0,0.218
Bolivia,1975,53.0,48.0,296.0,0.243
Bolivia,1976,53.6,46.9,317.0,0.243
Bolivia,1977,54.1,45.7,332.0,0.243
Bolivia,1978,54.6,44.6,352.0,0.243
Bolivia,1979,55.3,43.7,379.0,0.243
Bolivia,1980,55.9,43.0,438.0,0.298
Bolivia,1981,56.4,42.5,450.0,0.298
Bolivia,1982,56.7,42.2,464.0,0.298
Bolivia,1983,57.0,42.2,431.0,0.298
Bolivia,1984,57.7,42.2,422.0,0.298
Bolivia,1985,58.2,42.1,408.0,0.357
Bolivia,1986,58.8,42.1,378.0,0.357
Bolivia,1987,59.2,42.1,343.0,0.357
Bolivia,1988,59.6,42.1,350.0,0.357
Bolivia,1989,60.2,42.0,366.0,0.357
Bolivia,1990,60.9,42.6,380.0,0.427
Bolivia,1991,61.3,43.6,384.0,0.433
Bolivia,1992,61.8,45.3,398.0,0.447
Bolivia,1993,62.3,47.4,417.0,0.453
Bolivia,1994,63.0,50.1,449.0,0.467
Bolivia,1995,63.6,52.8,494.0,0.473
Bolivia,1996,64.2,54.9,520.0,0.48
Bolivia,1997,64.7,56.5,556.0,0.48
Bolivia,1998,65.3,58.3,551.0,0.487
Bolivia,1999,65.9,58.7,531.0,0.493
Bolivia,2000,66.5,58.9,583.0,0.493
Bolivia,2001,67.2,58.7,445.0,0.487
Bolivia,2002,67.6,58.1,523.0,0.48
Bolivia,2003,68.1,57.5,534.0,0.473
Bolivia,2004,68.5,57.3,525.0,0.473
Bolivia,2005,69.0,56.4,563.0,0.467
Bolivia,2006,69.4,55.1,692.0,0.487
Bolivia,2007,69.7,54.0,554.0,0.473
Bolivia,2008,70.1,51.8,579.0,0.507
Bolivia,2009,70.5,49.7,594.0,0.527
Bolivia,2010,70.8,48.1,636.0,0.52
Bolivia,2011,71.1,47.4,661.0,0.533
Bolivia,2012,71.4,47.1,748.0,0.553
Bolivia,2013,71.7,47.0,740.0,0.56
Bolivia,2014,71.9,46.7,778.0,0.567
Brazil,1971,61.0,49.8,716.0,0.206
Brazil,1972,61.4,50.5,749.0,0.206
Brazil,1973,61.9,51.3,802.0,0.206
Brazil,1974,62.3,52.2,833.0,0.206
Brazil,1975,62.8,53.0,850.0,0.188
Brazil,1976,63.2,53.8,871.0,0.188
Brazil,1977,63.7,54.6,879.0,0.188
Brazil,1978,64.2,55.5,913.0,0.188
Brazil,1979,64.6,56.3,948.0,0.188
Brazil,1980,64.9,57.1,943.0,0.195
Brazil,1981,65.3,57.8,884.0,0.195
Brazil,1982,65.5,58.2,878.0,0.195
Brazil,1983,65.7,57.9,879.0,0.195
Brazil,1984,65.8,58.0,915.0,0.195
Brazil,1985,66.0,58.2,956.0,0.239
Brazil,1986,66.4,58.7,980.0,0.239
Brazil,1987,66.7,59.7,998.0,0.239
Brazil,1988,67.1,60.7,993.0,0.239
Brazil,1989,67.4,60.3,994.0,0.239
Brazil,1990,67.5,59.0,941.0,0.269
Brazil,1991,68.1,58.8,942.0,0.26
Brazil,1992,68.4,58.1,936.0,0.273
Brazil,1993,68.5,57.9,943.0,0.287
Brazil,1994,68.9,58.5,977.0,0.3
Brazil,1995,69.3,59.8,994.0,0.307
Brazil,1996,69.7,59.7,1030.0,0.32
Brazil,1997,70.2,59.6,1070.0,0.333
Brazil,1998,70.6,59.4,1080.0,0.347
Brazil,1999,71.0,59.1,1080.0,0.36
Brazil,2000,71.4,58.8,1070.0,0.373
Brazil,2001,71.8,58.4,1080.0,0.387
Brazil,2002,72.1,57.9,1090.0,0.4
Brazil,2003,72.3,57.4,1090.0,0.413
Brazil,2004,72.6,56.8,1140.0,0.413
Brazil,2005,73.1,56.2,1160.0,0.42
Brazil,2006,73.5,55.5,1180.0,0.427
Brazil,2007,73.7,54.9,1240.0,0.433
Brazil,2008,74.0,54.3,1290.0,0.447
Brazil,2009,74.2,53.8,1240.0,0.453
Brazil,2010,74.4,53.3,1360.0,0.46
Brazil,2011,74.5,53.1,1370.0,0.473
Brazil,2012,74.9,52.6,1410.0,0.487
Brazil,2013,75.1,52.2,1460.0,0.493
Brazil,2014,75.3,51.9,1500.0,0.493
Brunei,1971,63.4,40.0,1310.0,0.231
Brunei,1972,64.3,40.0,1240.0,0.231
Brunei,1973,65.3,40.0,2320.0,0.231
Brunei,1974,66.2,40.0,3830.0,0.231
Brunei,1975,66.3,40.0,4580.0,0.285
Brunei,1976,66.4,40.0,5800.0,0.285
Brunei,1977,66.3,40.0,6040.0,0.285
Brunei,1978,66.3,40.0,5440.0,0.285
Brunei,1979,66.6,40.0,5470.0,0.285
Brunei,1980,67.0,40.0,6960.0,0.407
Brunei,1981,67.3,40.0,6500.0,0.407
Brunei,1982,67.6,40.0,6780.0,0.407
Brunei,1983,68.2,40.0,6960.0,0.407
Brunei,1984,68.8,40.0,7790.0,0.407
Brunei,1985,69.2,40.0,7940.0,0.442
Brunei,1986,69.6,40.0,6780.0,0.442
Brunei,1987,69.9,40.0,6760.0,0.442
Brunei,1988,70.3,40.0,5460.0,0.442
Brunei,1989,70.4,40.0,6160.0,0.442
Brunei,1990,70.5,40.0,6670.0,0.501
Brunei,1991,70.7,40.0,7340.0,0.507
Brunei,1992,71.1,40.0,7670.0,0.513
Brunei,1993,71.6,40.0,7180.0,0.52
Brunei,1994,71.9,40.0,6480.0,0.533
Brunei,1995,72.3,40.0,7560.0,0.54
Brunei,1996,72.7,40.0,7430.0,0.54
Brunei,1997,73.1,40.0,7490.0,0.547
Brunei,1998,73.4,40.0,7290.0,0.547
Brunei,1999,73.7,40.0,7270.0,0.547
Brunei,2000,73.8,40.0,7160.0,0.553
Brunei,2001,74.0,40.0,6490.0,0.553
Brunei,2002,74.2,40.0,6220.0,0.56
Brunei,2003,74.4,40.0,7090.0,0.56
Brunei,2004,74.5,40.0,6390.0,0.56
Brunei,2005,74.7,40.0,6070.0,0.567
Brunei,2006,74.8,40.0,8510.0,0.567
Brunei,2007,74.9,40.0,8610.0,0.573
Brunei,2008,75.0,40.0,9340.0,0.58
Brunei,2009,75.0,40.0,7930.0,0.58
Brunei,2010,75.1,40.0,8340.0,0.587
Brunei,2011,75.0,40.0,9840.0,0.587
Brunei,2012,75.0,40.0,9600.0,0.593
Brunei,2013,75.0,40.0,7520.0,0.593
Brunei,2014,75.1,40.0,8670.0,0.6
Bulgaria,1971,71.2,21.3,2230.0,0.367
Bulgaria,1972,71.2,21.4,2260.0,0.367
Bulgaria,1973,71.4,21.6,2380.0,0.367
Bulgaria,1974,71.4,21.8,2460.0,0.367
Bulgaria,1975,71.5,22.0,2670.0,0.411
Bulgaria,1976,71.5,22.2,2780.0,0.411
Bulgaria,1977,71.3,22.4,2950.0,0.411
Bulgaria,1978,71.4,22.6,3080.0,0.411
Bulgaria,1979,71.5,22.7,3200.0,0.411
Bulgaria,1980,71.5,22.9,3200.0,0.481
Bulgaria,1981,71.6,23.0,3190.0,0.481
Bulgaria,1982,71.5,23.1,3310.0,0.481
Bulgaria,1983,71.6,23.1,3370.0,0.481
Bulgaria,1984,71.6,23.2,3390.0,0.481
Bulgaria,1985,71.6,23.2,3420.0,0.545
Bulgaria,1986,71.8,23.3,3450.0,0.545
Bulgaria,1987,71.8,23.3,3410.0,0.545
Bulgaria,1988,71.8,23.9,3490.0,0.545
Bulgaria,1989,71.8,24.9,3430.0,0.545
Bulgaria,1990,71.7,26.3,3240.0,0.563
Bulgaria,1991,71.9,27.2,2540.0,0.593
Bulgaria,1992,71.4,27.3,2400.0,0.6
Bulgaria,1993,71.5,28.7,2590.0,0.607
Bulgaria,1994,70.9,29.0,2520.0,0.613
Bulgaria,1995,71.0,28.1,2750.0,0.62
Bulgaria,1996,71.0,28.2,2750.0,0.62
Bulgaria,1997,70.4,29.2,2500.0,0.627
Bulgaria,1998,70.9,28.9,2430.0,0.627
Bulgaria,1999,71.5,29.5,2230.0,0.633
Bulgaria,2000,71.6,30.4,2280.0,0.633
Bulgaria,2001,71.9,30.6,2420.0,0.66
Bulgaria,2002,72.2,30.9,2410.0,0.667
Bulgaria,2003,72.4,31.4,2490.0,0.673
Bulgaria,2004,72.5,32.0,2440.0,0.673
Bulgaria,2005,72.6,32.3,2600.0,0.68
Bulgaria,2006,72.7,33.2,2690.0,0.693
